name,coords,address,campus,restriction,type,rating ,math,science,english,arts,minAge,maxAge,DEI,cover
Academic Center for Engineers (Korman Rm 105D),"(39.9548263,-75.1913663)","3315 Market St, Philadelphia, PA 19104",drexel,drexel,tutor,3,yes,yes,no,no,18,150,,https://www.scup.org/wp-content/uploads/2019/05/Korman-Center_GrahamHebel_sm-839x490.jpg
Academic Resource Center (Korman Center),"(39.9548263,-75.1913663)","3315 Market St, Philadelphia, PA 19104",drexel,drexel,tutor,3,yes,yes,yes,no,18,150,,https://drexel.edu/news/~/media/Drexel/Core-Site-Group/News/Images/v2/story-images/2017/December/Korman-Center/The-facade-of-the-new-Korman-Center-addition.jpg
Biology Resource Center (Korman Rm 104),"(39.9548263,-75.1913663)","3315 Market St, Philadelphia, PA 19104",drexel,drexel,tutor,3,no,yes,no,no,18,150,,https://drexel.edu/news/~/media/Drexel/Core-Site-Group/News/Images/v2/story-images/2023/April/arc/_COM8243.JPG
Center for Black Culture,"(39.9568074,-75.1919979)","30 N 33rd St, Philadelphia, PA 19104",drexel,drexel,scholarship,5,n/a,n/a,n/a,n/a,18,150,,https://drexel.edu/studentlife/~/media/Drexel/EMSS-Site-Group/StudentLife/Images/student-success/inclusive-communities/cbc/cbc-gallery_16x9/cbc-gallery_16x9_16x9.jpg
Center for Inclusive Education and Scholarship (Suite 1024),"(39.9535538,-75.1920287)","3250 Chestnut St, Philadelphia, PA 19104",drexel,drexel,scholarship,n/a,n/a,n/a,n/a,n/a,18,150,,https://drexel.edu/~/media/Images/inclusive-education-scholarship/current-students.ashx?h=300&w=570&hash=D11E6421DD84CCE682B625D0390378FA5CAEAE0E
Chemistry Resource Center (Korman Rm 104),"(39.9548263,-75.1913663)","3315 Market St, Philadelphia, PA 19104",drexel,drexel,tutor,3,no,yes,no,no,18,150,,https://drexel.edu/~/media/Images/coas2/news/2019/math-resource-center.ashx?la=en
College of Engineering,"(39.9547059,-75.1883984)","3100 Market St, Philadelphia, PA 19104",drexel,drexel,career,n/a,yes,yes,n/a,n/a,18,150,,https://upload.wikimedia.org/wikipedia/commons/8/87/WTP_A21_Techserv_2.jpg
Community College of Philadelphia Career & Advanced Technology Center,"(39.9586559,-75.2167086)","4750 Market St, Philadelphia",ccp,anyone,career,5,n/a,n/a,n/a,n/a,18,150,,https://www.google.com/imgres?q=4750%20Market%20Street%20Philadelphia&imgurl=https%3A%2F%2Fwww.ccp.edu%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fcrop_1_1_800w%2Fpublic%2Fimages%2FAbout_CCP%2FLocations%2FRS78993_CATC-4371_74_sky.jpg%3Fh%3Da0aa6c43%26itok%3DUfOzc0-u&imgrefurl=https%3A%2F%2Fwww.ccp.edu%2Flocations&docid=bqMbDaBhU8CHDM&tbnid=p1JYb3j3qt8sFM&vet=12ahUKEwjA7PLu8tGFAxWekYkEHVRNDdYQM3oECE0QAA..i&w=800&h=800&hcb=2&ved=2ahUKEwjA7PLu8tGFAxWekYkEHVRNDdYQM3oECE0QAA
Creese Student Center,"(39.9534837,-75.1895039)","3210 Chestnut St, Philadelphia, PA 19104",drexel,drexel,career,4,no,no,no,no,18,150,,https://www.thetriangle.org/wp-content/uploads/2017/09/Creese.jpg
Drexel Counseling Center (Creese Student Center 201),"(39.9534837,-75.1895039)",3210 Chestnut Street,drexel,drexel,tutor,n/a,n/a,n/a,n/a,n/a,18,150,,https://drexel.edu/~/media/Images/medicine/student-health/asian-student-in-hallway.ashx?la=en
Drexel Office for Institutional Equity and Inclusive Culture (Rm 011),"(39.957661,-75.1934617)",3225 Arch Street,drexel,drexel,career,n/a,n/a,n/a,n/a,n/a,18,150,,https://drexel.edu/equity-inclusive-culture/~/media/Drexel/Treasurer-Group/Equity-Inclusive-Culture/Images/homePage/hp-test-4/hp-test-4_4x3.jpeg
Drexel Office of Disability Resources,"(39.9566127,-75.1899441)","3141 Chestnut Street, Suite 228",drexel,drexel,career,3.5,n/a,n/a,n/a,n/a,18,150,,https://drexel.edu/disability-resources/~/media/Drexel/Treasurer-Group/Disability-Resources/Images/LeBow-lounge/lebow-lounge_4x3.jpg
Drexel Writing Center (Korman Rm 100),"(39.9548263,-75.1913663)","3315 Market St, Philadelphia, PA 19104",drexel,drexel,tutor,,no,no,yes,no,18,150,,https://drexel.edu/news/~/media/Drexel/Core-Site-Group/News/Images/v2/story-images/2023/April/arc/_COM8236.JPG
Education Commons,"(39.9504639,-75.1918546)","Smith Walk, Philadelphia, PA 19104",upenn,upenn,study,5,yes,yes,yes,yes,18,150,,https://www.library.upenn.edu/sites/default/files/migrations/2016-12/ec10persongroupstudy.jpg
Fisher Fine Arts Library,"(39.9516901,-75.1950607)","220 S 34th St, Philadelphia, PA 19104",upenn,anyone,study,5,n/a,n/a,n/a,n/a,18,150,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQej8LfLp93u7fCZt7K2isqhooKdXjYXoLt0xzz3kBBZg&s
Free Library of Philadelphia,"(39.9595913,-75.1710199)","1901 Vine St Philadelphia, PA 19103",n/a,anyone,study,4,n/a,n/a,n/a,n/a,0,150,,https://www.aroraengineers.com/wp-content/uploads/2018/04/The-Free-Library-of-Philadelphia-Branch-Additions-and-Renovations_rep-image.jpg
Hagerty Library,"(39.9552246,-75.1924913)","3300 Market St, Philadelphia, PA 19104",drexel,drexel,study,3.5,n/a,n/a,n/a,n/a,18,150,,https://drexel.edu/~/media/Images/cci/Facilities/haggerty.ashx?h=450&w=600&la=en&hash=4BD5F90A41DFD5C36506E36662314040E74F2878
Health Professions Recruitment and Exposure Program (HPREP) ,"(40.0052824,-75.3689297)","4170 City Ave, Philadelphia, PA 19131",Philadelphia College of Osteopathic Medicine (PCOM),n/a,career,4,n/a,yes,n/a,n/a,14,18,MINORITY AND COMMUNITY OUTREACH PROGRAMS,https://hprep.wordpress.com/wp-content/uploads/2020/07/cropped-screen-shot-2020-07-01-at-9.14.18-pm-1-3.png
John and Jinnie Chapel Learning & Tutoring Center (Rm 375),"(39.9551346,-75.1905029)","3220 Market St, Philadelphia, PA 19104",drexel,drexel,tutor,5,no,no,no,no,18,150,,https://www.lebow.drexel.edu/sites/default/files/story/2023-10/lebow_chapel-announcement-header.jpg
Jon M. Huntsman Hall,"(39.9533795,-75.2005785)","3730 Walnut St, Philadelphia, PA 19104",upenn,upenn,study,4.5,n/a,n/a,n/a,n/a,18,150,,https://weingartencenter.universitylife.upenn.edu/wp-content/uploads/2019/03/Huntsman.jpg
Kelly Commons,"(39.9591472,-75.192938)","203 N 34th St, Philadelphia, PA 19104",drexel,drexel,study,3.5,n/a,n/a,n/a,n/a,18,150,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT41CJLEHhdID2DYKiNTjIxkLQl9aOY1XeYo-W7jZfv6w&s
LeBow College of Business,"(39.9551927,-75.1906207)","3220 Market St, Philadelphia, PA 19104",drexel,drexel,career,5,n/a,n/a,n/a,n/a,18,150,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBN-HjYtkoO1t7Ty9IWCYb8UsSaOblsmt-6xsMUEVvvw&s
Lincoln Plaza 4th floor,"(39.9548102,-75.1871579)","3020 Market St, Philadelphia, PA 19104",drexel,drexel,study,5,n/a,n/a,n/a,n/a,18,150,,https://lh3.googleusercontent.com/p/AF1QipOvo1AJEPfDS1fBFLku3i3kJ0fFwSsI_8MkSoGl=s1360-w1360-h1020
